Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Disney's Finding Nemo Kids,Lakewood Playhouse,Lakewood Playhouse,2026-08-28,2026-08-28,boxoffice@lakewoodplayhouse.org,Production,"5729 Lakewood Towne Center Blvd Sw, Po Box 99041, Lakewood, WA 98499-3821",Lakewood,WA,98499-3821,US,http://www.lakewoodplayhouse.org,(253) 588-0042,https://www.facebook.com/lakewoodplayhouse/,//instagram.com/lakewoodplayhouse,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Murder by Poe,Masonic Theatre,Masonic Theatre,2026-08-28,2026-09-06,nbrivertowneplayers@gmail.com,Production,"514 Hancock Street, New Bern, NC",New Bern,NC,,US,http://www.rivertowneplayers.org,(252) 633-3318,https://www.facebook.com/RiverTownePlayers/,http://instagram.com/rivertowneplayers,CONCORD,https://www.concordtheatricals.com/p/13869/murder-by-poe,performance run,Amateur,2026-08-18
Disney's Winnie The Pooh Kids,Media Theatre For The Performing Arts School,Media Theatre,2026-08-28,2026-08-28,info@mediatheatre.org,Production,"104 East State Street, Media, PA 19063",Media,PA,19063,US,http://www.mediatheatre.org,(610) 891-0100,https://www.facebook.com/mediatheatre/,https://www.instagram.com/themediatheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Mary Poppins Jr,Mt Ed,Mt Ed,2026-08-28,2026-08-29,brian_neenan@webstercsd.org,Organizations,"4785 Lake Ave, Rochester, NY 14612-2154",Rochester,NY,14612-2154,US,,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Roald Dahl's Willy Wonka Jr.,Ofc Creations Student Performance Group,Kodak Center Studio Theater,2026-08-28,2026-08-29,info@kodakcenter.com,Production,"200 W Ridge Rd, Rochester, NY 14615",Rochester,NY,14615,US,,(585) 254-0181,https://www.facebook.com/TeamSaffire,http://instagram.com/kodak_center,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Alice By Heart,Renaissance Performing Arts Company,Renaissance Performing Arts Company,2026-08-28,2026-08-30,info@renaissancepac.org,Production,"2516 N142nd Street, Omaha, NE 68164",Omaha,NE,68164,US,http://renaissancepac.org,âª(402) 522-6126â¬,https://www.facebook.com/renaissancepac,https://www.instagram.com/renaissancepac/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Steel Magnolias,Ritz Company Playhouse,Ritz Company Playhouse,2026-08-28,2026-09-06,ritzcompanyplayhouse@gmail.com,Production,"512 Keystone Street, Hawley, PA",Hawley,PA,,US,,570-226-9652,http://www.facebook.com/RitzCompanyPlayhouse,https://instagram.com/ritzplayhouse,CONCORD,https://www.concordtheatricals.com/p/10643/steel-magnolias,performance run,Amateur,2026-08-18
Come From Away,Roxys Downtown,Roxys Downtown,2026-08-28,2026-09-26,admin@roxysdowntown.com,Production,"412 1/2 E Douglas Ave, Wichita, KS 67202-3408",Wichita,KS,67202-3408,US,http://www.roxysdowntown.com,(316) 265-4400,https://www.facebook.com/RoxysDowntown,https://www.instagram.com/RoxysDowntown/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's 101 Dalmatians Kids,Skyrise Childrens Theater,Skyrise Black Box,2026-08-28,2026-08-28,skyrisechildrenstheater@gmail.com,Production,"76 Otis St, Westborough, MA 01581",Westborough,MA,1581,US,http://skyrisetheater.com,508-203-1759,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Beetlejuice Jr.,Stoughton Center For The Arts,Stoughton Opera House,2026-08-28,2026-08-28,admin@stoughtoncenterarts.com,Production,"381 E Main St, Stoughton, WI 53589",Stoughton,WI,53589,US,https://stoughtoncenterarts.com/,(608) 873-0717,https://www.facebook.com/stoughtoncenterarts,https://www.instagram.com/stoughtonarts,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Outsider (Smith),Tacoma Little Theatre,TACOMA LITTLE THEATRE,2026-08-28,2026-09-13,info@tacomalittletheatre.com,Production,"210 N I ST, TACOMA, WA",TACOMA,WA,,US,http://www.tacomalittletheatre.com,(253) 272-2281,https://www.facebook.com/tacomalittletheatre/,http://instagram.com/tacomalittletheatre,CONCORD,https://www.concordtheatricals.com/p/98955/the-outsider-smith,extended run,Amateur,2026-08-18
Something Rotten!,Temecula Valley Players,Old Town Temecula Community Theatre,2026-08-28,2026-09-13,info@temeculatheater.org,Production,"42051 Main Street, Temecula, CA 92590",Temecula,CA,92590,US,http://temeculatheater.org,(866) 653-8696,https://www.facebook.com/TemeculaTheater/,https://www.instagram.com/temeculatheater/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Come From Away,The Black Box Theatre,Lora Adams,2026-08-28,2026-09-12,info@indiantypefoundry.com,Production,"1623 5th Avenue, Moline, IL 61265",Moline,IL,61265,US,http://theblackboxtheatre.com,,https://www.facebook.com/theblackboxtheatreqc/,https://www.instagram.com/theblackboxtheatre,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Shrek The Musical Kids,White Plains Performing Arts Conservatory Theatre,White Plains Performing Arts Center,2026-08-28,2026-08-28,wppac@wppac.com,Production,"11 City Place, 3rd Floor (city Center), White Plains, NY 10601",White Plains,NY,10601,US,http://www.wppac.com,(914) 328-1600,https://www.facebook.com/wppac,https://instagram.com/wppac/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Avenue Q,"Ziegfeld Theater, Llc",The Ziegfeld Theater,2026-08-28,2026-09-12,boxoffice@zigarts.org,Production,"3934 S Washington Blvd, South Ogden, UT 84403",South Ogden,UT,84403,US,http://www.zigarts.com,855-944-2787,https://www.facebook.com/zigtheater,https://www.instagram.com/ziegfeldtheater/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
The Last Five Years,Adirondack Lakes Center For The Arts,Adirondack Lakes,2026-08-29,2026-09-04,info@adirondackarts.org,Production,"Po Box 205, Blue Mountain Lake, NY 12812",Blue Mountain Lake,NY,12812,US,http://www.adirondackarts.org,(518) 352-7715,https://www.facebook.com/theartscenter,https://www.instagram.com/artsadk/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Aristocats Kids,Brick Childrens Community Theatre,Mantoloking Road Playhouse,2026-08-29,2026-08-29,info@bcct.org,Production,"266 Mantoloking Rd, Brick, NJ 08723",Brick,NJ,8723,US,http://www.bcct.org,(732) 920-9041,https://facebook.com/,http://instagram.com/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Frozen Jr,Rct Repertory Childrens Theatre,Rct Theatre,2026-08-29,2026-08-29,markth@plano.gov,Organizations,"770 N Coit, Richardson, TX 75080",Richardson,TX,75080,US,,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Roald Dahl's Matilda The Musical Jr,Sherwood Forest Camp,Sherwood Forest Camp Inc,2026-08-29,2026-08-29,darnellr@sherwoodforeststl.org,Production,"Highway 21 South, Lesterville, MO 63143",Lesterville,MO,63143,US,http://www.sherwoodforeststl.org,(314) 644-3322,https://www.facebook.com/sherwoodforestcamp%20,https://www.instagram.com/sherwoodforeststl/%20,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Songs For A New World,Univ Of Pennsylvania - Student Activities,Platt Student Performing Arts House,2026-08-29,2026-08-29,platthouse@pobox.upenn.edu,Production,"3702 Spruce St, 160 Stouffer Commons, Philadelphia, PA 19104",Philadelphia,PA,19104,US,http://platthouse.universitylife.upenn.edu,(215) 898-6081,https://www.facebook.com/PlattHouse,https://instagram.com/pennplatthouse/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Frozen Jr,Plymouth Whitemarsh High School,Plymouth Whitemarsh High School,2026-08-30,2026-08-30,webmaster@colonialsd.org,Production,"201 East Germantown Pike, Plymouth Meeting, PA 19462",Plymouth Meeting,PA,19462,US,http://www.colonialsd.org,(610) 834-1670,https://www.facebook.com/colonialsdpa,https://www.instagram.com/colonialsdpa/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Music Man Jr,Kidz Kabaret,Center Stage Theatre,2026-08-31,2026-09-25,info@fairladyproductions.net,Production,"1665 Quincy Ave., Ste. 131, Naperville, IL 60540",Naperville,IL,60540,US,http://centerstage-theater.com,(630) 355-9212,,https://www.instagram.com/fairladyproductionsinc/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Mti's Broadway Junior Revue-pure Imagination,Spring Lake Theatre Company,Spring Lake Theatre Company,2026-08-31,2026-08-31,info@springlaketheatre.com,Production,"300 Madison Avenue, Spring Lake, NJ 07762",Spring Lake,NJ,7762,US,http://www.springlaketheatre.com,(732) 449-4530,https://www.facebook.com/springlaketheatre,https://www.instagram.com/springlaketheatre,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Kansas City Repertory Theatre,Helen F. Spencer Theater,2026-09-01,2026-09-20,tickets@kcrep.org,Production,"4949 Cherry St, Kansas City, MO 64110-2229",Kansas City,MO,64110-2229,US,http://www.kcrep.org,(816) 235-2700,https://www.facebook.com/KCREP,https://www.instagram.com/kcreptheatre/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
A Gentleman's Guide To Love And Murder,Christopher Newport University (cnu),Peebles Theatre,2026-09-02,2026-10-09,accessibility@cnu.edu,Production,"1 Avenue Of The Arts, Newport News, VA 23606",Newport News,VA,23606,US,http://www.cnu.edu/theater,(757) 594-8752,https://www.facebook.com/cnutheater,https://www.instagram.com/theatercnu/,MTI,https://www.mtishows.com/shows,extended run,School,2026-08-18
Little Shop Of Horrors (broadway Version),Altadena Music Theatre,Mountain View Mausaleum,2026-09-03,2026-09-13,altadenamusictheatre@gmail.com,Production,"2300 Marengo Ave, Altadena, CA 91001-2930",Altadena,CA,91001-2930,US,http://altadenamusictheatre.com,,,http://instagram.com/altadenamusictheatre,MTI,https://www.mtishows.com/shows,performance run,Professional,2026-08-18
Seussical Jr.,Barn Lot Theater,Barn Lot Theatre,2026-09-03,2026-09-06,info@barnlottheater.org,Production,"Po Box 639, 207 South Main Street, Edmonton, KY 42129",Edmonton,KY,42129,US,http://www.barnlottheater.org,2704322276,https://www.facebook.com/alteration.avenue.2025,https://www.instagram.com/barnlottheater/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Agatha Christie's Murder on the Orient Express,Betty Long Unruh Theatre,Betty Long Unruh Theatre,2026-09-03,2026-09-20,admin@uact-theatre.org,Production,"1614 West Harvard, Roseburg, OR",Roseburg,OR,,US,http://www.uact-theatre.com,(541) 673-2125,https://www.facebook.com/UACTors/,,CONCORD,https://www.concordtheatricals.com/p/64584/agatha-christie-s-murder-on-the-orient-express,extended run,Amateur,2026-08-18
Come From Away,Market House Theatre,Market House Theatre,2026-09-03,2026-09-20,alissa@mhtplay.org,Production,"141 Kentucky Avenue, Paducah,, KY 42003","Paducah,",KY,42003,US,http://markethousetheatre.org,(270) 444-6828,https://www.facebook.com/MarketHouseTheatre,https://www.instagram.com/markethousetheatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Come From Away,Musical Theatre Southwest,Musical Theatre Southwest,2026-09-03,2026-09-27,exec.dir@mtsabq.org,Production,"6320 B Domingo Ne, Albuquerque, NM 87108",Albuquerque,NM,87108,US,http://www.mtsabq.org,(505) 265-9119,https://www.facebook.com/musicaltheatresw,https://www.instagram.com/musicaltheatresw/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Bonnie And Clyde,Stockton Civic Theatre,Stockton Civic Theatre,2026-09-03,2026-09-27,boxoffice@sctlivetheatre.com,Production,"2312 Rose Marie Ln, Stockton, CA 95207",Stockton,CA,95207,US,http://www.sctlivetheatre.org,+12094732424,https://www.facebook.com/sctlivetheatre,https://www.instagram.com/sctlivetheatre,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Come From Away,Strauss Theatre Center,Strauss Theatre Center,2026-09-03,2026-09-13,bom@strausstheatre.com,Production,"1300 Lamy Lane, Monroe, LA 71201",Monroe,LA,71201,US,http://strausstc.com,(318) 323-6681,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
One Flew Over the Cuckoo's Nest,Wichita Community Theatre,Wichita Community Theatre,2026-09-03,2026-09-13,wichitact@gmail.com,Production,"258 North Fountain Street, Wichita, KS",Wichita,KS,,US,http://www.wichitact.org,,https://www.facebook.com/wichitact,https://www.instagram.com/wichitact1927/,CONCORD,https://www.concordtheatricals.com/p/2795/one-flew-over-the-cuckoo-s-nest,performance run,Amateur,2026-08-18
One Flew Over the Cuckoo's Nest,Carlisle Regional Performing Arts Center,Carlisle Regional Performing Arts Center,2026-09-04,2026-09-13,tickets@carlisletheatre.org,Production,"40 W. High Street, Carlisle, PA",Carlisle,PA,,US,http://www.carlisletheatre.org/,(717) 258-0666,https://facebook.com/137107843024560,https://www.instagram.com/carlisletheatre/,CONCORD,https://www.concordtheatricals.com/p/2795/one-flew-over-the-cuckoo-s-nest,performance run,Amateur,2026-08-18
Lerner And Loewe's My Fair Lady,Community Players Inc,Community Players Theatre,2026-09-04,2026-09-13,info@beatricecommunityplayers.com,Production,"412 Ella Street, Beatrice, NE 68310",Beatrice,NE,68310,US,http://www.beatricecommunityplayers.com,(402) 228-1801,https://facebook.com/CommunityPlayersInc,https://instagram.com/bcplayers/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The Addams Family Musical,Davis Musical Theatre Company,Davis Musical Theatre Company,2026-09-04,2026-09-27,info@dmtc.org,Production,"Davis, CA",Davis,CA,,US,https://dmtc.org,(530) 756-3682,https://www.facebook.com/pages/Davis-Musical-Theatre-Company-DMTC/106995755746,https://www.instagram.com/dmtc3682,TRW,https://www.theatricalrights.com/show/addams-family-musical/,extended run,,2026-08-18
And Then There Were None,Highview Arts Center,Highview Arts Center,2026-09-04,2026-09-13,hello@highviewartscenter.com,Production,"7406 Fegenbush Lane, LOUISVILLE, KY",LOUISVILLE,KY,,US,https://www.highviewartscenter.com/,5027836609,http://www.facebook.com/highviewarts,https://www.instagram.com/highviewartscenter/,CONCORD,https://www.concordtheatricals.com/p/914/and-then-there-were-none,performance run,Amateur,2026-08-18
Disney's High School Musical Jr.,Landmark Community Theatre,Landmark Community Theatre,2026-09-04,2026-09-05,admin@landmarkcommunitytheatre.org,Production,"P.o. Box 158, Thomaston, CT 06787",Thomaston,CT,6787,US,http://www.landmarkcommunitytheatre.org,(860) 283-6250,https://www.facebook.com/LandmarkCommunityTheatre,https://www.instagram.com/landmarkcommunitytheatre,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Private Lives,Las Vegas Little Theatre,LAS VEGAS LITTLE THEATRE,2026-09-04,2026-09-20,info@lvlt.org,Production,"3920 SCHIFF DR, LAS VEGAS, NV",LAS VEGAS,NV,,US,http://www.lvlt.org/,(702) 362-7996,https://www.facebook.com/LVLittleTheatre/,https://www.instagram.com/lvlittletheatre/,CONCORD,https://www.concordtheatricals.com/p/2816/private-lives,extended run,Amateur,2026-08-18
"Theatre People, or The Angel Next Door",Old Opera House Theatre Co,Old Opera House Theatre Co,2026-09-04,2026-09-13,ooh@oldoperahouse.org,Production,"204 N George St, Charles Town, WV",Charles Town,WV,,US,http://www.oldoperahouse.org,(304) 725-4420,https://www.facebook.com/CharlesTownKiwanisClub/,https://instagram.com/oldoperahouse,CONCORD,https://www.concordtheatricals.com/p/99438/theatre-people-or-the-angel-next-door,performance run,Amateur,2026-08-18
Waiting for Godot,Pennsylvania Theatre Of Performing Arts,Pennsylvania Theatre of Performing Arts,2026-09-04,2026-09-06,boxoffice@ptpashows.org,Production,"212 West Broad Street, Hazleton, PA",Hazleton,PA,,US,http://www.ptpashows.org,,https://www.facebook.com/PTPASHOWS,https://www.instagram.com/ptpashows,CONCORD,https://www.concordtheatricals.com/p/98125/waiting-for-godot,performance run,Amateur,2026-08-18
Come From Away,Rockport Little Theatre,Rockport Little Theatre,2026-09-04,2026-09-20,info@rockportlittletheatre.com,Production,"99 Austin Street, Rockport, TX 78382",Rockport,TX,78382,US,http://www.rockportlittletheatre.com,361-450-1465,,,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Hadestown: Teen Edition,Showtime Theatre-Galleria Mall,Showtime Theatre-Galleria Mall,2026-09-04,2026-09-13,info@showtimetheatrecompany.com,Production,"2301 Dave Lyle Blvd, ROCK HILL, SC",ROCK HILL,SC,,US,http://www.showtimetheatrecompany.com,(704) 488-6703,,,CONCORD,https://www.concordtheatricals.com/p/96564/hadestown-teen-edition,performance run,Amateur,2026-08-18
Parade,The Earl and Rachel Smith Strand Theatre,Earl Smith Strand Theatre,2026-09-04,2026-09-20,boxoffice@strandmarietta.org,Production,"117 North Park Square, Marietta, GA 30061",Marietta,GA,30061,US,http://www.earlsmithstrand.org,(770) 293-0080,https://www.facebook.com/strandmarietta,https://www.instagram.com/strandmarietta,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Groundhog Day,Theatre Off The Square,Theatre Off The Square,2026-09-04,2026-09-20,boxoffice@theatreoffthesquare.org,Production,"114 N. Denton St., Weatherford, TX 76086",Weatherford,TX,76086,US,http://www.theatreoffthesquare.org/,(817) 341-8687,https://www.facebook.com/TheatreOffTheSquare,https://instagram.com/weatherford_tots/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Trolls The Musical Jr.,Vive Les Arts Societe D/b/a Central Texas Theatre,Vive Les Arts Theatre,2026-09-04,2026-09-13,operations@vlakilleen.org,Production,"3401 S. Ws Young, Killeen, TX 76542",Killeen,TX,76542,US,http://www.vlakilleen.org,(254) 526-9090,https://www.facebook.com/ViveLesArts/,https://www.instagram.com/centraltexastheatre/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
A Funny Thing...forum,Westminster Community Playhouse,Westminster Community Playhouse,2026-09-04,2026-09-27,boxoffice@wcpstage.com,Production,"7272 Maple Street, Westminster, CA 92683",Westminster,CA,92683,US,http://www.wcpstage.com,(714) 893-8626,https://www.facebook.com/westminstercommunityplayhouse,https://www.instagram.com/wcp_stage/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
The 25th Annual Putnam County Spelling Bee,Youthclusive,Center Stage Theater,2026-09-04,2026-09-05,admin@centerstagetheater.org,Production,"751 Paseo Nuevo, Santa Barbara, CA 93101",Santa Barbara,CA,93101,US,https://centerstagetheater.org/,(805) 963-0408,https://www.facebook.com/CenterStageSB,https://www.instagram.com/centerstagetheatersb/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Disney's Dare To Dream Jr,Drayton Ent High School Project,King's Wharf Theatre,2026-09-05,2026-09-05,youthacademy@draytonentertainment.com,Production,"97 Jury Dr, Penetanguishene, ON L9M 1G7, CA",Penetanguishene,ON,L9M 1G7,CA,https://www.draytonentertainmentyouthacademy.com,(519) 804-1100,https://www.facebook.com/draytonentertainmentyouthacademy,https://www.instagram.com/deyouthacademy,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Newsies Jr.,Creative Drama Childrens Theater,Creative Drama Childrens Theater,2026-09-06,2026-09-07,creativedramanow@gmail.com,Production,"4794 Kinnamon Road, Suite A, Winston Salem, NC 27103",Winston Salem,NC,27103,US,http://www.creativedramachildrenstheater.com,(336) 633-8696,http://www.facebook.com/CreativeDramaCT,https://www.instagram.com/creativedramanow/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Newsies,Kansas City Starlight,Kansas City Starlight,2026-09-06,2026-09-13,help@kcstarlight.com,Production,"4600 Starlight Road, Kansas City, MO",Kansas City,MO,,US,http://www.kcstarlight.com,(816) 363-7827,https://www.facebook.com/kcstarlight,https://www.instagram.com/KCStarlight,MTI,https://www.mtishows.com/shows,performance run,Professional,2026-08-18
Disney's Descendants,Auburn Dance Academy,Auburn Riveerside Theater,2026-09-07,2026-09-07,csmetheram@auburn.wednet.edu,Production,"501 Oravetz Rd Se, Auburn, WA 98092",Auburn,WA,98092,US,http://auburn.wednet.edu/theatres,(253) 931-4900,https://www.facebook.com/ASDNativeAmericanEducationProgram,https://www.instagram.com/auburnschooldistrict/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Arsenic and Old Lace,Henderson County Performing Arts Center,Henderson County Performing Arts Center,2026-09-09,2026-09-20,info@hcpac.org,Production,"400 Gibson Road, Athens, TX",Athens,TX,,US,http://www.hcpac.org,(903) 675-3908,https://www.facebook.com/hcpacalt,,CONCORD,https://www.concordtheatricals.com/p/98176/arsenic-and-old-lace,performance run,Amateur,2026-08-18
Spring Awakening,Oregon Contemporary Theatre,Oregon Contemporary Theatre,2026-09-09,2026-09-27,boxoffice@octheatre.org,Production,"194 W Broadway, Eugene, OR 97401",Eugene,OR,97401,US,http://www.octheatre.org,(541) 465-1506,https://www.facebook.com/OCTheatre,http://instagram.com/octheatre,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Come From Away,Perrysburg High School,Maumee Valley Country Day School,2026-09-09,2026-09-13,gapps@schoology.com,Production,"1715 South Reynolds Road, Perrysburg, OH 43614",Perrysburg,OH,43614,US,https://www.mvcds.org/,,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Million Dollar Quartet,Priscilla Beach Theatre,Priscilla Beach Theatre,2026-09-09,2026-09-19,info@pbtheatre.org,Production,"Plymouth, MA",Plymouth,MA,,US,http://www.pbtheatre.org,(508) 224-4888,https://www.facebook.com/PBTheatre,https://www.instagram.com/priscilla_beach_theatre/,TRW,https://www.theatricalrights.com/show/million-dollar-quartet/,performance run,,2026-08-18
The Lightning Thief,Shelby County Community Theatre,Shelby County Community Theatre,2026-09-09,2026-09-20,officeadmin@shelbytheatre.org,Production,"801 Main St., Shelbyville, KY",Shelbyville,KY,,US,http://www.shelbytheatre.org/,,https://www.facebook.com/pg/ShelbyTheatre.org,https://www.instagram.com/therealscctheatre/,CONCORD,https://www.concordtheatricals.com/p/93490/the-lightning-thief,performance run,Amateur,2026-08-28
An Enemy of the People (Miller),South Bend Civic Theatre,South Bend Civic Theatre,2026-09-09,2026-09-09,boxoffice@sbct.org,Production,"403 N. Main Street, South Bend, IN",South Bend,IN,,US,http://sbct.org,,https://www.facebook.com/SBCivic,https://www.instagram.com/sbcivic/,CONCORD,https://www.concordtheatricals.com/p/7453/an-enemy-of-the-people-miller,performance run,Amateur,2026-08-18
Disney's The Little Mermaid Jr,Stageworks,Stageworks,2026-09-09,2026-09-13,mail@stageworkstheatrearts.com,Production,"204 Dearborn Ct., Unit 104, Geneva, IL 60134",Geneva,IL,60134,US,http://www.stageworkstheatrearts.com,(630) 750-1010,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
See How They Run,"Winchester Little Theatre, Inc.","Winchester Little Theatre, Inc.",2026-09-09,2026-09-26,wlt@winchesterlittletheatre.org,Production,"315 W. Boscawen St., Winchester, VA",Winchester,VA,,US,http://www.winchesterlittletheatre.org,(540) 662-3331,http://www.facebook.com/winlit,https://instagram.com/winchesterlittletheatre,CONCORD,https://www.concordtheatricals.com/p/2289/see-how-they-run,extended run,Amateur,2026-08-18
